repo,category,issue_number,issue_url,title,source,type,suggested_labels,difficulty,summary,why_good_first_issue,affected_files,repro_tier,repro_steps,repro_result,fix_hint,notes
canonical/alertmanager-k8s-operator,charm,,,README uses deprecated `juju run-action ... --wait` for the show-config example,self-identified,documentation,Type: Documentation; good first issue,easy,The README 'Configuration' section documents how to verify the active config via the show-config action using `juju run-action alertmanager-k8s/0 show-config --wait`. `juju run-action` and its `--wait` flag were removed in Juju 3.x (the supported Juju for this charm); the current command is `juju run alertmanager-k8s/0 show-config`. A newcomer following the docs on Juju 3.x gets 'ERROR unrecognized command: juju run-action'.,"Single-line, self-contained doc fix with an unambiguous correct form. No code or architecture knowledge needed; the show-config action still exists (charmcraft.yaml:248, charm.py:368) so only the invocation syntax is stale. Clear definition of done: README shows the Juju 3.x `juju run` syntax.",README.md:96,inspection,"multipass exec cos -- git clone --depth 80 https://github.com/canonical/alertmanager-k8s-operator ~/work/alertmanager-k8s-operator; grep -n 'run-action' README.md; sed -n '92,98p' README.md; verify the action still exists: grep -n 'show-config' charmcraft.yaml src/charm.py","confirmed-by-inspection: README.md line 96 reads `juju run-action alertmanager-k8s/0 show-config --wait`. `juju run-action` was removed in Juju 3.x; on Juju 3.x this errors. The show-config action itself is still defined (charmcraft.yaml:248 'show-config:', src/charm.py:368 `_on_show_config_action`), so the action is valid and only the command form is deprecated. It is the only `run-action` occurrence in the repo's docs.",Replace line 96 with `juju run alertmanager-k8s/0 show-config` (drop `--wait`; `juju run` is synchronous by default). Optionally mention `--format=yaml` for readable output.,"Only 4 open issues exist (#393, #342, #299, #268), all labelled Type: Bug/Enhancement + Status: Triage and none beginner-friendly (TF redesign, service-mesh policy design, multi-AM prometheus support, silence-expiry feature). This self-identified doc fix is a cleaner good-first-issue. Unit suite is green (69 passed, 3 skipped, 4 xfailed)."
canonical/alertmanager-k8s-operator,charm,,,Missing unit tests for ConfigBuilder ConfigError paths (templates-in-config and cert/key mismatch),self-identified,test,Type: Enhancement; good first issue; testing,easy,"src/config_builder.py raises ConfigError in two distinct situations: (1) the user-supplied alertmanager config file contains a forbidden top-level `templates:` section (line 126), and (2) only one of cert_file/key_file is set for TLS web config (line 178). Neither raise path has a unit test. The only ConfigBuilder tests live in tests/unit/test_workload_tracing.py and cover the tracing config exclusively.","Adds value with a small, isolated, well-patterned change. ConfigBuilder is a pure, dependency-free class (no Juju/ops harness needed), and the existing test_workload_tracing.py provides a clear GIVEN/WHEN/THEN template. A beginner writes two short `with pytest.raises(ConfigError):` tests. Clear done: both ConfigError branches covered, suite still green.",src/config_builder.py:126; src/config_builder.py:178; tests/unit/test_workload_tracing.py (or a new tests/unit/test_config_builder.py),unit,multipass exec cos -- bash -lc 'cd ~/work/alertmanager-k8s-operator && export PATH=$HOME/.local/bin:$PATH && tox -l && tox -e unit'; then prove the gap: grep -rn 'ConfigError' tests/unit/  (no hits) and grep -rn 'ConfigBuilder' tests/unit/  (only test_workload_tracing.py).,"reproduced: `tox -e unit` => 69 passed, 3 skipped, 4 xfailed in 136s, coverage 83% (baseline green). Gap confirmed: `grep -rn ConfigError tests/unit/` returns no matches and `grep -rn ConfigBuilder tests/unit/` matches only tests/unit/test_workload_tracing.py, so neither ConfigError raise site (config_builder.py:126 templates-in-config, :178 cert/key mismatch) is exercised by any unit test.","Add tests asserting: (a) ConfigBuilder().set_config({'templates': ['x']}).build() raises ConfigError; (b) ConfigBuilder().set_tls_server_config(cert_file_path='c', key_file_path=None?) -> actually set only one then .build() raises ConfigError('Must provide both cert and key files'). Follow the GIVEN/WHEN/THEN style already in test_workload_tracing.py; add `import pytest` and use `pytest.raises`.","Static env also enforces a LIBPATCH/LIBAPI bump check for lib changes, but this candidate only touches src/tests so that gate is not triggered. Coverage report already shows uncovered lines in config_builder, consistent with the gap."
canonical/alertmanager-rock,rock,,,Bump Alertmanager rock to upstream v0.33.0 (latest supported dir pins v0.32.2),self-identified,version-bump,Type: Enhancement; good first issue,easy,"The newest version directory in the repo is 0.32.2/, whose rockcraft.yaml builds Alertmanager from source-tag ""v0.32.2"". Upstream prometheus/alertmanager has since released v0.33.0. A beginner can add a new 0.33.0/ directory (copying the 0.32.2 layout: rockcraft.yaml + alertmanager.yml + spread/) and bump version and source-tag to v0.33.0, mirroring how previous versions were added.","Self-contained, mechanical change following an established per-version-directory pattern already present in the repo (0.25.0 through 0.32.2). No deep Go/rockcraft knowledge needed: copy the latest dir, change two strings (version and source-tag), and let CI/kgoss validate. Clear definition of done: a 0.33.0/ dir that builds the new upstream tag.",0.33.0/rockcraft.yaml (new); 0.33.0/alertmanager.yml (new); 0.33.0/spread/ (new); README.md (supported-versions wording),inspection,"gh api repos/canonical/alertmanager-rock/contents --jq '.[]|select(.type==""dir"")|.name'  (newest version dir = 0.32.2); gh api repos/canonical/alertmanager-rock/contents/0.32.2/rockcraft.yaml --jq .content | base64 -d | grep -E 'version:|source-tag:'; gh api repos/prometheus/alertmanager/releases/latest --jq .tag_name","confirmed-by-inspection: 0.32.2/rockcraft.yaml pins version: ""0.32.2"" and source-tag: ""v0.32.2"" (newest version directory in repo); upstream prometheus/alertmanager releases/latest is v0.33.0, so the rock is one minor release behind the latest upstream.","Copy 0.32.2/ to a new 0.33.0/ directory; in 0.33.0/rockcraft.yaml set version: ""0.33.0"" and source-tag: ""v0.33.0""; keep base ubuntu@26.04 and the existing override-build (npm UI build + go build). Open a PR and let CI + kgoss validate; the repo's update.yaml automation normally does this but the dir currently tops out at 0.32.2.","All 7 open issues are auto-generated 'Vulnerabilities found for alertmanager:...' security-scan reports (no labels), not beginner tasks. Repo uses a versioned-directory layout (one dir per upstream version) plus a shared root goss.yaml and justfile. An automated update.yaml workflow exists to raise version-bump PRs, so a maintainer may prefer the bot; still a valid, easily verifiable beginner change."
canonical/alertmanager-rock,rock,,,"Strengthen goss smoke test: assert /-/ready, amtool binary, and HTTP body",self-identified,goss-test-gap,Type: Enhancement; good first issue; testing,easy,"The repo's shared root goss.yaml only checks that the alertmanager process is running and that GET http://localhost:9093/-/healthy returns 200. It never checks the readiness endpoint (/-/ready), never asserts the amtool binary the rock also ships is present/executable, and does not validate any response body. A beginner can extend goss.yaml to cover these, making the kgoss smoke test catch more regressions.",goss.yaml is a tiny declarative YAML file; adding a second http check for /-/ready and a command/file check for /usr/bin/amtool is low-risk and well-scoped. The existing single check is an obvious template to copy. Good way for a newcomer to learn goss without touching the build.,goss.yaml,inspection,gh api repos/canonical/alertmanager-rock/contents/goss.yaml --jq .content | base64 -d  (shows only process.alertmanager.running + http http://localhost:9093/-/healthy status 200); rockcraft.yaml stages usr/bin/alertmanager AND usr/bin/amtool but goss never exercises amtool.,"confirmed-by-inspection: goss.yaml contains only 'process: alertmanager: running: true' and one http check (http://localhost:9093/-/healthy -> 200). No /-/ready check, no amtool file/command check, no body assertion, even though 0.32.2/rockcraft.yaml stages both usr/bin/alertmanager and usr/bin/amtool.","In goss.yaml add an http entry for http://localhost:9093/-/ready (status 200), and a file: /usr/bin/amtool: {exists: true, mode: ""0755""} entry (or a command check running 'amtool --version'). Optionally add 'body' regex to the existing healthy check. Validate with 'just test' (kgoss).","Lower priority than the version bump but a clean, isolated testing improvement. The same goss.yaml is shared across all version dirs, so one edit improves coverage for every built version."
avalanche-k8s-operator,charm,,,Remove dead event handler _on_alertmanager_config_changed (never observed; references non-existent class),self-identified,cleanup,"good first issue, Type: Cleanup",easy,"src/charm.py:278-280 defines _on_alertmanager_config_changed, but nothing ever wires it up: there is no self.framework.observe(...) for it anywhere in the repo. Its docstring also references :class:`AvalancheAlertmanagerConfigChanged`, a class that does not exist in the codebase. The handler is unreachable dead code (the charm has no alertmanager relation). It should be deleted.","Self-contained 3-line deletion with no behavioural impact (the method is never invoked). Easy to prove unused with one grep. New contributor learns how charm events are registered via framework.observe and practises safe dead-code removal. Tests already pass and do not reference it, so risk is minimal.",src/charm.py:278-280 (def _on_alertmanager_config_changed + docstring referencing non-existent AvalancheAlertmanagerConfigChanged),unit,"grep -rn '_on_alertmanager_config_changed' src tests -> only the definition at src/charm.py:278 (no framework.observe, no caller). grep -rn 'AvalancheAlertmanagerConfigChanged' src tests -> only the docstring at src/charm.py:279 (class does not exist). Then: export PATH=$HOME/.local/bin:$PATH && tox -e unit.","Confirmed at current HEAD. Greps show _on_alertmanager_config_changed is defined only at src/charm.py:278 and is never observed/called; AvalancheAlertmanagerConfigChanged appears only in the docstring (src/charm.py:279) and is defined nowhere. Coverage from `tox -e unit` lists line 280 (the handler body) as Missing -> never executed, i.e. dead. Unit baseline: 42 passed, 1 warning, 2.31s; total charm.py coverage 85%. Deleting the method will not affect any test.","Delete the three lines src/charm.py:278-280 (the def, its docstring, and the pass-through body). No observe() to remove because none was ever added. Run tox -e lint and tox -e unit to confirm green.","Repo has 0 open issues, so self-identified. ops >=2; uses ops.main. Unit env builds and passes (42 tests). Coverage evidence directly corroborates the dead code (line 280 Missing)."
avalanche-k8s-operator,charm,,,Fix stale docstring on _update_layer (documents a 'restart' arg that does not exist),self-identified,documentation,"good first issue, Type: Documentation, Type: Cleanup",easy,"src/charm.py:146 defines `def _update_layer(self) -> bool:` (no parameters), but its docstring (src/charm.py:149-150) has an `Args:` section documenting `restart: a flag indicating if the service should be restarted if a change was detected.` There is no `restart` parameter, and the method never restarts the service (restart is handled separately in _common_exit_hook). The docstring is misleading and out of date.","Pure documentation fix in one method: remove the bogus Args section (or correct it to describe the actual no-arg behaviour and the bool return). No logic changes, no test changes. Teaches a newcomer to read code vs docstring carefully and to keep Google-style docstrings honest, which the repo enforces via ruff D rules.",src/charm.py:146-172 (_update_layer); specifically the docstring Args block at src/charm.py:149-150 describing a non-existent `restart` parameter,inspection,"sed -n '146,156p' src/charm.py (or grep -n 'def _update_layer' and 'restart:' src/charm.py). Observe signature `def _update_layer(self) -> bool:` at line 146 and the contradictory `Args:\n  restart: ...` at lines 149-150.","Confirmed at current HEAD: src/charm.py:146 = `def _update_layer(self) -> bool:` (zero params) while src/charm.py:149-150 documents `Args:` / `restart: a flag indicating if the service should be restarted if a change was detected.` The parameter does not exist and the method does not restart anything. Unit suite green (42 passed) regardless, since this is documentation-only.",Edit the _update_layer docstring (src/charm.py:147-155): drop the `Args:` section with the phantom `restart` parameter and keep just the summary plus the `Returns: True if anything changed; False otherwise`. Run tox -e lint (ruff D rules) to confirm the docstring still passes.,"Repo has 0 open issues -> self-identified. Could be bundled with the dead-handler cleanup into one small 'tidy charm.py' PR, or filed separately. Also note several inline TODOs exist (scrape_interval move to config at :75; remote-write-interval config at :195; block-if-both-relations at :187) but those are feature-sized, not first-issue-sized."
canonical/catalogue-k8s-operator,charm,,self-identified,README references non-existent `dashboard_info` interface; should be `catalogue`,self-identified,documentation,Type: Documentation; good first issue,trivial,"charm/README.md (Usage section) instructs users to relate the charm to 'any charms implementing the providing side of the `dashboard_info` interface'. The charm does not use a `dashboard_info` interface anywhere; the relation interface for catalogue entries is `catalogue` (provides: catalogue / requires: catalogue-item, both interface: catalogue per charmcraft.yaml). `dashboard_info` is Grafana's interface and appears to be a copy-paste error. The Usage line should reference the `catalogue` interface instead.","Single-line documentation fix with an unambiguous correct value. No code, no architecture knowledge, and no build/test run required. The wrong term is verifiable against charmcraft.yaml in seconds, and 'done' is obvious: replace `dashboard_info` with `catalogue`.",charm/README.md (line 14),inspection,"On the cos VM: git clone --depth 80 https://github.com/canonical/catalogue-k8s-operator ~/work/catalogue-k8s-operator; cd ~/work/catalogue-k8s-operator; grep -rn 'dashboard_info' . --include='*.md' --include='*.py' --include='*.yaml'  (only hit: charm/README.md:14); grep -n 'interface:' charm/charmcraft.yaml  (shows provides/requires use 'interface: catalogue', never dashboard_info).","confirmed-by-inspection: charm/README.md:14 says 'charms implementing the providing side of the `dashboard_info` interface', but `dashboard_info` occurs nowhere else in the repo; charmcraft.yaml:59-72 shows the relevant interface is `catalogue` (provides catalogue / requires catalogue-item, both interface: catalogue). So the README names the wrong interface.","In charm/README.md line 14, replace `dashboard_info` with `catalogue` (the interface used by the `catalogue` provider / `catalogue-item` requirer). Optionally clarify that providers relate over the `catalogue` relation endpoint.","Verified against repo at commit 13071f7 (branch main, 2026-06-16). Pure docs change; no LIBPATCH bump and no tests affected. Lint and unit envs are green on this commit (10 unit tests pass)."
canonical/catalogue-k8s-operator,charm,,self-identified,Remove dead `_is_valid_unit_address` method (and stale `unit_address` docstring) in catalogue v1 lib,self-identified,cleanup,Type: Cleanup; good first issue,easy,"In charm/lib/charms/catalogue_k8s/v1/catalogue.py, CatalogueConsumer defines a private helper `_is_valid_unit_address` (lines 148-163) that is never called anywhere in the library or charm. It is a leftover from the v0 library, where it IS used by `unit_address` (v0 line 115). In v1, `unit_address` was simplified to just return `self._item.url` (or ''), so the IP-validation helper is dead code. The v1 `unit_address` docstring (lines 139-146) still claims it returns a unit address that 'Requires ingress to be connected', which no longer matches the trivial body.","Small, self-contained cleanup confined to one file. The 'unused' claim is easy to verify with grep and is even visible in the unit-test coverage report (the method's lines show as uncovered). No behavior change, low risk, and a clear definition of done: delete the unused method and tidy the misleading docstring.",charm/lib/charms/catalogue_k8s/v1/catalogue.py (lines 139-163: unit_address docstring + unused _is_valid_unit_address),unit,On the cos VM: cd ~/work/catalogue-k8s-operator; grep -rn '_is_valid_unit_address' charm/  (defined at v1/catalogue.py:148 and v0/catalogue.py:120; CALLED only at v0/catalogue.py:115; no call site in v1 or in src/charm.py); export PATH=$HOME/.local/bin:$PATH && tox -e unit  (10 passed; coverage report lists v1/catalogue.py 'Missing' lines including 158-163 and 144-146).,"confirmed-by-inspection + unit: `_is_valid_unit_address` is defined at charm/lib/charms/catalogue_k8s/v1/catalogue.py:148 but has no caller in v1 or in src/charm.py (grep shows it is only invoked in the v0 lib at line 115). The unit run (10 passed) coverage report flags v1/catalogue.py lines 158-163 (the method body) and 144-146 (unit_address body) as Missing/never-executed, corroborating that the method is dead code.","Delete the unused `_is_valid_unit_address` method from CatalogueConsumer in the v1 library, and update the `unit_address` docstring to reflect that it now simply returns the item's URL. Because this edits a published charm lib, bump LIBPATCH (currently 3) in v1/catalogue.py per the repo's static-analysis check in charm/tox.ini, which fails if a lib changes without a LIBPATCH/LIBAPI bump.","Verified against repo at commit 13071f7 (branch main, 2026-06-16). Slightly more involved than a pure docs fix only because the static env enforces a LIBPATCH bump for any lib change; otherwise trivial. unit and lint envs are green on this commit before the change."
canonical/cos-alerter,charm,,,_validate_hashes accepts any 128-char string as a SHA-512 hash (no hex-character check),self-identified,bug,Type: Bug; good first issue; testing,easy,"Config._validate_hashes (cos_alerter/alerter.py) is documented as 'Validate that keys in the clients dictionary are valid SHA-512 hashes', but it only checks that the client key is 128 characters long; it does not verify the characters are hexadecimal. A 128-character non-hex string (e.g. 'z'*128) is therefore wrongly accepted as a valid SHA-512 hash, so an obviously malformed client key passes validation instead of causing the documented 'Invalid SHA-512 hash(es)' exit.","Tiny, isolated pure function with an existing test (test_invalid_hashes) to extend. The fix is one line (regex/hex check) and the correct behaviour is unambiguous given the docstring. A beginner can add a regex match and a unit test for the non-hex case, following the established test pattern. Clear done: 128-char non-hex keys are rejected and covered by a test.","cos_alerter/alerter.py:39-46 (_validate_hashes); tests/test_alerter.py:83 (test_invalid_hashes, extend)",unit,multipass exec cos -- git clone --depth 80 https://github.com/canonical/cos-alerter ~/work/cos-alerter; multipass exec cos -- bash -lc 'cd ~/work/cos-alerter && export PATH=$HOME/.local/bin:$PATH && tox -e unit'; then isolate the predicate (len==128 only) from alerter.py:39-46 and feed it 'z'*128.,"reproduced: `tox -e unit` => 54 passed, 1 deselected in 1.84s (green baseline). Isolating the validation logic (is_valid = len(client_key) == 128) and running it: input 'z'*128 (128 non-hex chars) -> validate returns True (ACCEPTED), whereas a correct check re.fullmatch(r'[0-9a-fA-F]{128}', key) returns False (rejected). The existing test_invalid_hashes only exercises a 64-char key (wrong length), so the non-hex-but-correct-length case is unguarded. Confirms _validate_hashes under-validates relative to its 'valid SHA-512 hashes' docstring.","In _validate_hashes, replace the length-only check with a hex+length check, e.g. `import re` then `is_valid = bool(re.fullmatch(r'[0-9a-fA-F]{128}', client_key))`. Add a unit test with a 128-char non-hex key asserting config.reload() exits with code 1 (mirror test_invalid_hashes). Keep allowing empty keys if that is intended (current code skips empty client_key).","All 6 open issues are medium/large or environment-specific: #64 (Pydantic config refactor) touches the whole Config class; #89 (time.monotonic across reboots) needs careful time-semantics work + reboot repro; #74 (squid proxy) needs a proxy env (integration). This self-identified bug is a cleaner beginner task. cos-alerter is a standalone Python app (tox envs lint/static/test+unit), not an ops charm."
canonical/cos-alerter,charm,,,README: docker config filename inconsistent (`./cos-alerter` vs `cos-alerter.yaml`),self-identified,documentation,Type: Documentation; good first issue,easy,"In README.md the 'Configuring COS Alerter' step tells docker users to copy the config to `./cos-alerter` (no extension), but the very next 'Running -> Docker' command bind-mounts `source=""$(pwd)""/cos-alerter.yaml` into the container. The instructed filename and the filename used by the documented docker run command do not match, so a user who follows the config step literally creates `./cos-alerter` and the mount of `cos-alerter.yaml` fails or mounts the wrong path.","Pure, single-file documentation fix with an unambiguous correct value (align the filename to `cos-alerter.yaml`, matching the docker run command and the in-container target /etc/cos-alerter.yaml). No code knowledge needed; lint (codespell/ruff/black) is unaffected by README text. Clear done: the config-copy instruction and the docker run command reference the same filename.",README.md:46 (copy to ./cos-alerter); README.md:54 (docker run mounts cos-alerter.yaml),inspection,"multipass exec cos -- bash -lc 'cd ~/work/cos-alerter && grep -n ""cos-alerter.yaml\|./cos-alerter"" README.md && sed -n ""44,55p"" README.md'","confirmed-by-inspection: README.md line 46 reads 'Copy the file cos_alerter/config-defaults.yaml to /etc/cos-alerter.yaml (If running without docker) or ./cos-alerter (if running with docker).' while line 54 reads 'docker run ... --mount type=bind,source=""$(pwd)""/cos-alerter.yaml,target=/etc/cos-alerter.yaml,readonly ...'. The docker config path differs (`./cos-alerter` vs `cos-alerter.yaml`) for the same file/role, which is contradictory.","Change the line 46 docker filename from `./cos-alerter` to `./cos-alerter.yaml` so it matches the bind-mount source in line 54 and the in-container target /etc/cos-alerter.yaml. (Equivalently, fix both to a single consistent name, but `cos-alerter.yaml` is the form the documented docker command and the Docker example dir already use.)","Lower-stakes than the validation bug but a clean, verifiable doc fix that removes real user confusion. No open issue tracks it; self-identified."
